patrol,station,secteur,date,lat,lon,categorie1,categorie2,age_signe,animaux_rencontres,anomalies,causes,comportement,especes,etat_morts,mesure,meteo,n_bonne_sante,n_malades,n_morts,type_piege,type_signe,village
PNAT_S2_PTR_ZOLA_JUL_000025,Nanoharana,Secteur 2,2025-06-15,-15.82588632,49.36559471,Observation directe,,,,,,Craintif,Varecia variegata ssp. subcincta,,,,2.0,0.0,0.0,,,
PNAT_S2_PTR_ZOLA_JUL_000025,Nanoharana,Secteur 2,2025-06-14,-15.81423026,49.40343343,Observation directe,,,,,,En mouvement,Eulemur fulvus (Lèmur Brun,,,,,,,,,
PNAT_S2_PTR_ZOLA_JUL_000025,Nanoharana,Secteur 2,2025-06-14,-15.81837666,49.3987943,Observation directe,,,,,,,Eulemur fulvus (Lèmur Brun,,,,,,,,,
PNAT_S1_PTR_PATRIC_JUL_000022,Marovovonana,Secteur 1,2025-06-15,-15.31554852,49.50653227,Partie d'animal,,,,,,,,,,,,,,,,
PNAT_S1_PTR_PATRIC_MAI_000020,Andranomahitsy,Secteur 1,2025-05-25,-15.19395555,49.71660747,Braconnage,Piégeage,,,,,,Eulemur albifrons,,Constatation,Constatation,,,,Piège lèmuriens,,Ambinanitelo
PNAT_S1_PTR_PATRIC_MAI_000020,Andranomahitsy,Secteur 1,2025-05-16,-15.15954931,49.72099737,Observation directe,,,,,,En mouvement,Eulemur albifrons,,,,2.0,0.0,0.0,,,
PNAT_S2_PTR_ZOLA_AVRIL_000024,Sahafekona - Antsahabe,Secteur 2,2025-04-23,-15.72048756,49.42176063,Observation directe,,,,,,En mouvement,Varecia variegata ssp. subcincta,,,,5.0,0.0,0.0,,,
PNAT_S2_PTR_ZOLA_AVRIL_000024,Sahafekona - Antsahabe,Secteur 2,2025-04-22,-15.72601897,49.42095631,Observation directe,,,,,,Craintif,Indri indri (Indri À Queue Courte),,,,1.0,0.0,0.0,,,
PNAT_S2_PTR_ZOLA_AVRIL_000024,Sahafekona - Antsahabe,Secteur 2,2025-04-22,-15.72499755,49.42242475,Observation directe,,,,,,En mouvement,Eulemur fulvus (Lèmur Brun,,,,,,,,,
PNAT_S2_PTR_ZOLA_AVRIL_000024,Sahafekona - Antsahabe,Secteur 2,2025-04-20,-15.73099782,49.41696688,Observation directe,,,,,,En mouvement,Eulemur fulvus (Lèmur Brun,,,,,,,,,
PNAT_S2_PTR_ZOLA_AVRIL_000024,Sahafekona - Antsahabe,Secteur 2,2025-04-19,-15.7697462,49.38463194,Observation directe,,,,,,En repos,Avahi laniger (Avahi Laineux,,,,,,,,,
